timestamp,date,hour
2023-08-22 03:35:35.557000+00:00,2023-08-22,3.58
2023-08-22 03:29:27.394000+00:00,2023-08-22,3.48
2023-08-22 03:29:20.049000+00:00,2023-08-22,3.48
2023-08-22 03:28:43.264000+00:00,2023-08-22,3.47
2023-08-22 03:28:39.544000+00:00,2023-08-22,3.47
2023-08-22 03:28:23.803000+00:00,2023-08-22,3.47
2023-08-22 03:28:17.106000+00:00,2023-08-22,3.47
2023-08-22 03:27:26.692000+00:00,2023-08-22,3.45
2023-08-22 03:27:23.441000+00:00,2023-08-22,3.45
2023-08-22 00:50:00.802000+00:00,2023-08-22,0.83
2023-08-22 00:31:10.064000+00:00,2023-08-22,0.52
2023-08-22 00:28:30.076000+00:00,2023-08-22,0.47
2023-08-22 00:28:19.665000+00:00,2023-08-22,0.47
2023-08-22 00:28:04.456000+00:00,2023-08-22,0.47
2023-08-22 00:26:48.442000+00:00,2023-08-22,0.43
2023-08-22 00:26:27.295000+00:00,2023-08-22,0.43
2023-08-22 00:26:16.010000+00:00,2023-08-22,0.43
2023-08-22 00:26:10.845000+00:00,2023-08-22,0.43
2023-08-22 00:25:49.065000+00:00,2023-08-22,0.42
2023-08-21 23:06:25.931000+00:00,2023-08-21,23.1
2023-08-21 23:06:10.915000+00:00,2023-08-21,23.1
2023-08-21 23:06:07.261000+00:00,2023-08-21,23.1
2023-08-21 22:54:48.825000+00:00,2023-08-21,22.9
2023-08-21 22:54:36.692000+00:00,2023-08-21,22.9
2023-08-21 22:54:31.885000+00:00,2023-08-21,22.9
2023-08-21 22:54:17.079000+00:00,2023-08-21,22.9
2023-08-21 22:43:30.038000+00:00,2023-08-21,22.72
2023-08-21 22:43:23.026000+00:00,2023-08-21,22.72
2023-08-21 21:57:43.599000+00:00,2023-08-21,21.95
2023-08-21 21:57:39.502000+00:00,2023-08-21,21.95
2023-08-21 21:57:06.305000+00:00,2023-08-21,21.95
2023-08-21 21:56:40.911000+00:00,2023-08-21,21.93
2023-08-21 21:56:31.385000+00:00,2023-08-21,21.93
2023-08-21 21:55:48.294000+00:00,2023-08-21,21.92
2023-08-21 21:55:39.728000+00:00,2023-08-21,21.92
2023-08-21 21:55:26.654000+00:00,2023-08-21,21.92
2023-08-21 21:54:43.707000+00:00,2023-08-21,21.9
2023-08-21 21:54:26.460000+00:00,2023-08-21,21.9
2023-08-21 21:54:24.008000+00:00,2023-08-21,21.9
2023-08-21 21:54:15.691000+00:00,2023-08-21,21.9
2023-08-21 21:53:48.190000+00:00,2023-08-21,21.88
2023-08-21 21:53:29.252000+00:00,2023-08-21,21.88
2023-08-21 21:53:05.235000+00:00,2023-08-21,21.88
2023-08-21 21:52:41.130000+00:00,2023-08-21,21.87
2023-08-21 21:52:35.441000+00:00,2023-08-21,21.87
2023-08-21 21:52:22.506000+00:00,2023-08-21,21.87
2023-08-21 21:51:10.990000+00:00,2023-08-21,21.85
2023-08-21 20:40:07.135000+00:00,2023-08-21,20.67
2023-08-21 20:40:02.236000+00:00,2023-08-21,20.67
2023-08-21 20:28:21.704000+00:00,2023-08-21,20.47
2023-08-21 20:28:06.886000+00:00,2023-08-21,20.47
2023-08-21 20:25:56.531000+00:00,2023-08-21,20.42
2023-08-21 20:25:43.388000+00:00,2023-08-21,20.42
2023-08-21 20:25:41.539000+00:00,2023-08-21,20.42
2023-08-21 20:20:14.092000+00:00,2023-08-21,20.33
2023-08-21 19:19:52.220000+00:00,2023-08-21,19.32
2023-08-21 19:19:49.441000+00:00,2023-08-21,19.32
2023-08-21 19:16:23.844000+00:00,2023-08-21,19.27
2023-08-21 19:16:08.377000+00:00,2023-08-21,19.27
2023-08-21 17:00:19.887000+00:00,2023-08-21,17.0
2023-08-21 16:38:45.379000+00:00,2023-08-21,16.63
2023-08-21 16:38:43.747000+00:00,2023-08-21,16.63
2023-08-21 08:09:11.704000+00:00,2023-08-21,8.15
2023-08-21 08:08:58.475000+00:00,2023-08-21,8.13
2023-08-21 06:56:08.349000+00:00,2023-08-21,6.93
2023-08-21 06:22:44.632000+00:00,2023-08-21,6.37
2023-08-21 05:30:22.265000+00:00,2023-08-21,5.5
