timestamp,date,hour
2023-05-29 03:21:26+00:00,2023-05-29,3.35
2023-05-27 04:54:28.603000+00:00,2023-05-27,4.9
2023-05-26 21:18:17.147000+00:00,2023-05-26,21.3
2023-05-24 03:00:08.097000+00:00,2023-05-24,3.0
2023-05-23 04:54:04.372000+00:00,2023-05-23,4.9
2023-05-18 03:11:48.968000+00:00,2023-05-18,3.18
2023-05-16 03:13:55.601000+00:00,2023-05-16,3.22
2023-05-10 02:21:35.141000+00:00,2023-05-10,2.35
2023-05-06 03:45:32.457000+00:00,2023-05-06,3.75
2023-05-01 12:17:28.858000+00:00,2023-05-01,12.28
2023-04-30 08:22:15.657000+00:00,2023-04-30,8.37
2023-04-25 01:19:01.496000+00:00,2023-04-25,1.32
2023-04-24 01:49:20.571000+00:00,2023-04-24,1.82
2023-04-23 02:55:41.759000+00:00,2023-04-23,2.92
2023-04-22 06:13:51.731000+00:00,2023-04-22,6.22
2023-04-13 01:04:02.354000+00:00,2023-04-13,1.07
2023-04-11 00:39:43.124000+00:00,2023-04-11,0.65
2023-04-10 00:49:38.336000+00:00,2023-04-10,0.82
2023-03-31 01:26:31.688000+00:00,2023-03-31,1.43
2023-03-06 00:31:35.300000+00:00,2023-03-06,0.52
2023-02-27 01:14:56.214000+00:00,2023-02-27,1.23
2023-02-26 00:29:15.716000+00:00,2023-02-26,0.48
2023-02-26 00:17:07.395000+00:00,2023-02-26,0.28
2023-02-23 03:56:55.488000+00:00,2023-02-23,3.93
2023-02-22 03:24:40.454000+00:00,2023-02-22,3.4
2023-02-21 15:21:44.231000+00:00,2023-02-21,15.35
2023-02-21 05:28:00.839000+00:00,2023-02-21,5.47
2023-02-20 01:06:19.221000+00:00,2023-02-20,1.1
2023-02-19 06:20:43.034000+00:00,2023-02-19,6.33
2023-02-18 08:09:54.047000+00:00,2023-02-18,8.15
2023-02-18 01:13:56.813000+00:00,2023-02-18,1.22
2023-02-17 06:31:53.998000+00:00,2023-02-17,6.52
2023-02-17 01:10:38.907000+00:00,2023-02-17,1.17
2023-02-16 03:45:50.515000+00:00,2023-02-16,3.75
2023-02-15 02:36:16.266000+00:00,2023-02-15,2.6
2023-02-14 10:59:30.674000+00:00,2023-02-14,10.98
2023-02-14 04:57:00.086000+00:00,2023-02-14,4.95
2023-02-13 03:58:01.967000+00:00,2023-02-13,3.97
2023-02-12 23:45:03.967000+00:00,2023-02-12,23.75
2023-02-12 06:17:23.445000+00:00,2023-02-12,6.28
2023-02-12 03:20:00.572000+00:00,2023-02-12,3.33
2023-02-10 02:17:31.326000+00:00,2023-02-10,2.28
2023-02-06 04:40:14.165000+00:00,2023-02-06,4.67
2023-02-06 01:03:02.968000+00:00,2023-02-06,1.05
2023-02-04 02:52:37.312000+00:00,2023-02-04,2.87
2023-02-02 03:52:55.649000+00:00,2023-02-02,3.87
2023-02-01 00:12:52.679000+00:00,2023-02-01,0.2
2023-01-30 02:40:22.606000+00:00,2023-01-30,2.67
2023-01-27 05:09:06.173000+00:00,2023-01-27,5.15
2023-01-25 05:55:38.955000+00:00,2023-01-25,5.92
2023-01-24 03:23:08.005000+00:00,2023-01-24,3.38
