timestamp,date,hour
2023-08-24 05:14:17.339000+00:00,2023-08-24,5.23
2023-08-24 05:13:16.670000+00:00,2023-08-24,5.22
2023-08-24 04:41:54.526000+00:00,2023-08-24,4.68
2023-08-24 02:54:06.333000+00:00,2023-08-24,2.9
2023-08-24 02:53:59.885000+00:00,2023-08-24,2.88
2023-08-24 02:35:15.869000+00:00,2023-08-24,2.58
2023-08-24 02:34:39.985000+00:00,2023-08-24,2.57
2023-08-24 02:33:57.096000+00:00,2023-08-24,2.55
2023-08-24 02:29:12.413000+00:00,2023-08-24,2.48
2023-08-24 02:14:25.921000+00:00,2023-08-24,2.23
2023-08-24 01:25:40.366000+00:00,2023-08-24,1.42
2023-08-24 01:25:00.945000+00:00,2023-08-24,1.42
2023-08-24 01:24:40.357000+00:00,2023-08-24,1.4
2023-08-24 01:24:27.903000+00:00,2023-08-24,1.4
2023-08-24 01:18:25.668000+00:00,2023-08-24,1.3
2023-08-24 01:04:27.035000+00:00,2023-08-24,1.07
2023-08-24 01:02:15.956000+00:00,2023-08-24,1.03
2023-08-24 01:02:00.446000+00:00,2023-08-24,1.03
2023-08-24 00:47:06.513000+00:00,2023-08-24,0.78
2023-08-24 00:46:03.588000+00:00,2023-08-24,0.77
2023-08-24 00:45:24.056000+00:00,2023-08-24,0.75
2023-08-24 00:44:54.207000+00:00,2023-08-24,0.73
2023-08-24 00:44:39.897000+00:00,2023-08-24,0.73
2023-08-24 00:44:37.749000+00:00,2023-08-24,0.73
2023-08-24 00:43:48.730000+00:00,2023-08-24,0.72
2023-08-24 00:43:24.653000+00:00,2023-08-24,0.72
2023-08-24 00:43:07.465000+00:00,2023-08-24,0.72
2023-08-24 00:42:57.330000+00:00,2023-08-24,0.7
2023-08-24 00:42:45.060000+00:00,2023-08-24,0.7
2023-08-24 00:42:42.134000+00:00,2023-08-24,0.7
2023-08-24 00:42:15.504000+00:00,2023-08-24,0.7
2023-08-24 00:42:02.407000+00:00,2023-08-24,0.7
2023-08-24 00:41:47.669000+00:00,2023-08-24,0.68
2023-08-24 00:41:41.383000+00:00,2023-08-24,0.68
2023-08-24 00:41:35.990000+00:00,2023-08-24,0.68
2023-08-24 00:41:21.263000+00:00,2023-08-24,0.68
2023-08-24 00:41:13.678000+00:00,2023-08-24,0.68
2023-08-24 00:40:29.359000+00:00,2023-08-24,0.67
2023-08-24 00:39:50.652000+00:00,2023-08-24,0.65
2023-08-24 00:39:42.742000+00:00,2023-08-24,0.65
2023-08-24 00:39:30.684000+00:00,2023-08-24,0.65
2023-08-24 00:39:00.657000+00:00,2023-08-24,0.65
2023-08-24 00:37:29.960000+00:00,2023-08-24,0.62
2023-08-24 00:37:14.844000+00:00,2023-08-24,0.62
2023-08-24 00:36:57.215000+00:00,2023-08-24,0.6
2023-08-24 00:35:11.860000+00:00,2023-08-24,0.58
2023-08-23 23:27:09.687000+00:00,2023-08-23,23.45
2023-08-23 23:25:54.041000+00:00,2023-08-23,23.42
2023-08-23 23:19:03.187000+00:00,2023-08-23,23.32
2023-08-23 23:18:09.295000+00:00,2023-08-23,23.3
2023-08-23 23:12:34.401000+00:00,2023-08-23,23.2
2023-08-23 23:11:42.176000+00:00,2023-08-23,23.18
2023-08-23 23:04:49.794000+00:00,2023-08-23,23.07
2023-08-23 23:04:45.907000+00:00,2023-08-23,23.07
2023-08-23 22:51:51.395000+00:00,2023-08-23,22.85
2023-08-23 22:51:48.348000+00:00,2023-08-23,22.85
2023-08-23 22:51:15.715000+00:00,2023-08-23,22.85
2023-08-23 22:51:13.909000+00:00,2023-08-23,22.85
2023-08-23 22:51:04.530000+00:00,2023-08-23,22.85
2023-08-23 22:50:31.345000+00:00,2023-08-23,22.83
